"Date","Price","Open","High","Low","Change %"
"Dec 14, 2018","1,238.48","1,242.53","1,243.12","1,233.00","-0.32%"
"Dec 13, 2018","1,242.46","1,246.02","1,247.13","1,240.23","-0.27%"
"Dec 12, 2018","1,245.80","1,243.25","1,247.56","1,241.95","0.23%"
"Dec 11, 2018","1,242.94","1,244.53","1,249.62","1,240.55","-0.13%"
"Dec 10, 2018","1,244.59","1,250.43","1,250.62","1,241.20","-0.36%"
"Dec 09, 2018","1,249.11","1,249.88","1,250.92","1,248.94","0.08%"
"Dec 07, 2018","1,248.10","1,238.32","1,250.42","1,237.49","0.82%"
"Dec 06, 2018","1,237.99","1,237.87","1,244.70","1,234.63","0.03%"
"Dec 05, 2018","1,237.56","1,238.54","1,239.35","1,232.96","-0.08%"
"Dec 04, 2018","1,238.55","1,231.35","1,242.24","1,230.41","0.61%"
"Dec 03, 2018","1,231.08","1,223.12","1,234.94","1,221.09","0.73%"
"Dec 02, 2018","1,222.14","1,221.78","1,223.62","1,221.78","0.01%"
"Nov 30, 2018","1,221.96","1,223.96","1,225.65","1,216.23","-0.17%"
"Nov 29, 2018","1,223.99","1,221.42","1,229.35","1,220.49","0.24%"
"Nov 28, 2018","1,221.11","1,214.64","1,226.32","1,210.73","0.53%"
"Nov 27, 2018","1,214.69","1,222.65","1,225.60","1,211.74","-0.63%"
"Nov 26, 2018","1,222.37","1,224.00","1,228.13","1,221.14","-0.17%"
"Nov 25, 2018","1,224.42","1,223.49","1,224.46","1,223.41","0.10%"
"Nov 23, 2018","1,223.19","1,227.33","1,229.27","1,220.53","-0.35%"
"Nov 22, 2018","1,227.45","1,226.69","1,229.80","1,225.30","0.12%"
"Nov 21, 2018","1,226.02","1,221.55","1,230.15","1,219.23","0.37%"
"Nov 20, 2018","1,221.55","1,224.37","1,229.17","1,219.67","-0.20%"
"Nov 19, 2018","1,224.05","1,221.76","1,225.26","1,217.52","0.12%"
"Nov 18, 2018","1,222.62","1,222.49","1,222.84","1,221.69","0.09%"
"Nov 16, 2018","1,221.47","1,213.02","1,225.37","1,212.48","0.70%"
"Nov 15, 2018","1,213.00","1,210.87","1,216.36","1,207.56","0.17%"
"Nov 14, 2018","1,210.91","1,202.26","1,216.33","1,197.12","0.71%"
"Nov 13, 2018","1,202.35","1,200.96","1,205.57","1,196.29","0.14%"
"Nov 12, 2018","1,200.65","1,209.46","1,211.45","1,200.18","-0.84%"
"Nov 11, 2018","1,210.81","1,208.41","1,210.82","1,208.41","0.10%"
"Nov 09, 2018","1,209.60","1,223.88","1,223.97","1,206.52","-1.14%"
